id,AUTM_names,std_name
95260,Univ. of Washington/Wash. Research Foundation,University of Washington
95260,University of Washington,University of Washington
95260,University of Washington/Wash. Research Foundation,University of Washington
99020,Univ. of West Florida,University of West Florida
99020,University of West Florida,University of West Florida
99020,University of West Florida Research Fndtn,University of West Florida
99018,University of Wisconsin at Madison,University of Wisconsin Madison
99018,University of Wisconsin-Madison/Wisconsin Alumni Research Foundation,University of Wisconsin Madison
99018,UW-Madison/WARF,University of Wisconsin Madison
95272,W.A.R.F./University of Wisconsin Madison,University of Wisconsin Madison
95272,W.A.R.F./University of Wisconsin-Madison,University of Wisconsin Madison
95272,Wisconsin Alumni Research Foundation,University of Wisconsin Madison
95263,Univ. of Wisconsin at Milwaukee,University of Wisconsin Milwaukee
95263,Univ. Wisconsin-Milwaukee Research Fdn.,University of Wisconsin Milwaukee
95263,Univ. Wisconsin-Milwaukee Research Foundation,University of Wisconsin Milwaukee
95263,University of Wisconsin at Milwaukee,University of Wisconsin Milwaukee
95263,University Wisconsin-Milwaukee Research Foundation,University of Wisconsin Milwaukee
95264,University of Wyoming,University of Wyoming
20100271,University System of Maryland,University System of Maryland
95266,Utah State Univ.,Utah State University
95266,Utah State University,Utah State University
95268,Vanderbilt Univ.,Vanderbilt University
95268,Vanderbilt University,Vanderbilt University
95270,Virginia Commonwealth Univ.,Virginia Commonwealth University
95270,Virginia Commonwealth University,Virginia Commonwealth University
95271,Virginia Tech Intellectual Properties Inc.,Virginia Tech
95273,Wake Forest University,Wake Forest University
95274,Washington State University,Washington State University
95274,Washington State University Research Foundation,Washington State University
95276,Wayne State Univ.,Wayne State University
95276,Wayne State University,Wayne State University
97012,West Virginia Univ.,West Virginia University
97012,West Virginia University,West Virginia University
99019,Western Kentucky University,Western Kentucky University
20000024,Western Michigan Univ,Western Michigan University
20100278,Whitehead Institute for Biomedical Research,Whitehead Inst
20160309,Wichita State University,Wichita State University
2000006,College of William & Mary,William & Mary
95279,Wistar Inst.,Wistar Inst
95279,Wistar Institute,Wistar Inst
95279,Wistar Institution,Wistar Inst
20120294,WiSys Technology Foundation,WiSys Technology Foundation
95280,Woods Hole Oceanographic Inst.,Woods Hole Oceanographic Institution
95280,Woods Hole Oceanographic Institution,Woods Hole Oceanographic Institution
96043,Worcester Polytechnic Institute,Worcester Polytechnic Institute
95281,Wright State Univ.,Wright State University
95281,Wright State University,Wright State University
95275,Washington University,WUSTL
95275,Washington University in St. Louis,WUSTL
2000004,Washington University in St. Louis,WUSTL
2000004,Washington University of St. Louis,WUSTL
95275,Washington University St. Louis,WUSTL
95282,Yale University,Yale University
20160325,University Hospitals,
40001,University of Massachusetts System,
